"","age (Myrs ago)","failed runs (%)","CO2 (ppm)","0.025","0.975","O2 (%)","0.025","0.975"
"1",65,98.87,947.782523943136,761.03415625754,2302.41430490615,14.9044892909557,5.5806820906537,27.7134478687442
"2",64,97.74,927.153326941112,759.326316283545,2220.94508086408,17.4384932813885,7.21128469106829,31.3171892014558
"3",63,96.47,946.02728138788,759.405788265061,1888.9207022788,19.956413252722,7.84700441069214,36.6639946663296
"4",62,95.86,952.307295672115,761.0195808201,1782.55329809507,21.1051203627211,9.31372239240708,36.376438086843
"5",61,95.89,928.809385268424,756.657685064504,1815.46938687539,21.5797719394071,11.021925047145,32.8894931990909
"6",60,96.22,932.432514633664,757.85554949309,2497.9116938937,21.9169352394521,12.7668860675275,33.0991065688285
"7",59,95.9,964.04698653052,759.958782097487,1864.95784762549,21.8175526390773,14.0926182162586,31.2927381528717
"8",58,96.34,908.5094702688,757.8854998102,1703.96273892703,22.5924042699009,14.86379745439,31.170572322718
"9",57,96.17,910.506176870102,759.906045833892,1672.95500399461,22.8988940774239,14.9366218172143,31.3806248352992
"10",56,96.8,918.539128229895,756.563576713166,1588.34515907592,23.4234004900539,14.9109110353537,30.7338978646482
"11",55,92.73,1028.48163094869,768.280583885926,2546.74094792874,23.6454580305164,15.8232222170615,30.5351722784782
"12",54,93.79,989.677809544426,760.77576297377,1954.39193045232,23.822218102933,18.6670033751836,30.7457639116563
"13",53,93.22,1005.7988987249,763.568384813122,2189.31829725076,24.1462103112103,18.3011145549879,31.1115946887107
"14",52,91.89,1073.49399971031,764.385356358085,2410.98633169364,24.3041241872235,18.0524141298681,31.2514688658785
"15",51,92.61,1010.90265357399,762.612148827069,2196.03261323353,24.2974069494877,19.0464284999062,30.7341738376256
"16",50,91.99,1060.31501162306,763.652784390966,2224.94818961371,24.3613517208088,18.3933489840245,30.5376990029699
"17",49,92.36,1019.93267826606,758.584254422732,2163.50773708723,24.4343683209143,19.0681017480331,30.2628760373895
"18",48,92.31,1018.58578133567,764.124297785411,2387.91819160663,24.6611014389623,19.4603307181933,30.2709732849915
"19",47,92.9,1018.14116421508,768.413824744273,2133.29340686262,24.4954506887452,19.1712388495675,30.3728309045075
"20",46,92.74,1019.91840075678,764.865913498062,2203.52274396776,24.5347072304711,19.0617646952353,30.5883491063218
"21",45,93.17,992.060855222245,763.790143474557,2060.25515165529,26.5172831809694,22.580959682303,31.8610364413769
"22",44,93.75,974.110112654352,760.210573424857,1830.15355951275,27.3463271742174,22.6723198115984,32.9362783187461
"23",43,94.95,953.296799810651,762.755182714845,1871.83983652764,27.1776298959553,22.1619381622847,34.8602501949451
"24",42,94.18,965.788179341747,763.618843486626,1955.25946471128,27.5275732296632,22.810965654987,33.8850902743541
"25",41,94.2,942.272753726521,756.581272626152,1793.85349706585,27.4699651252574,22.8623090935231,33.2292948752871
"26",40,91.66,983.217474459124,770.521733312049,1453.70318707847,27.5442656850215,21.0909207999302,34.2277193344767
"27",39,91,991.103402770224,764.809975150953,1499.44525765438,27.4874266772047,22.9848894134503,34.240409665734
"28",38,90.63,1010.23455365787,770.901851836901,1645.32135150972,27.5289544416933,22.9981808556733,33.4635094667469
"29",37,90.14,1032.43898887728,771.028559865106,1622.96891623579,27.5304017467981,22.9713570324843,33.8115728878223
"30",36,90.3,1036.6147781906,768.98159994295,1609.63829002807,27.4597856216133,23.2036441749045,33.4468650382895
"31",35,89.05,1101.29692809759,793.698243230152,1909.36600305819,27.1917597251508,23.1768810937224,33.2917936387415
"32",34,89.88,1066.33697653754,767.648341740432,1690.68726176118,27.1877493066134,23.1699192336115,32.2662530700255
"33",33,89.17,1084.45189963362,778.600920382414,1815.85780659894,26.9163246719911,23.0821288466441,32.5198942751052
"34",32,89.46,1070.96096457116,780.443107336834,1685.79834182215,26.7809631122659,22.8938364459013,32.4144004978454
"35",31,89.52,1068.56573916666,779.880501446265,1731.68137571715,26.6980825892784,22.9814106497759,32.1416809546585
"36",30,89.39,1096.66836212039,790.447822578642,1754.87858923654,26.6044071472128,22.7176178803692,32.0167059450061
"37",29,89.47,1095.79413314282,776.653366476717,1777.46164187741,26.4396960149044,22.5694333773195,31.5424099409109
"38",28,89.14,1116.32059430771,783.682919014622,1905.86222400143,26.3793761610865,22.7081959949674,31.3574205039875
"39",27,89.3,1068.69931078337,777.086181734713,1801.12903232277,26.2778270183319,22.6962422894655,31.4039573318693
"40",26,89.49,1070.22628162943,779.974878474789,1684.90093308591,26.1814663622643,22.4751986926222,31.187487656133
"41",25,88.43,1250.26451114543,853.779021377018,2475.24581223356,25.0841933223782,20.6896008362801,30.4610572282848
"42",24,88.77,1165.49909550706,793.126885459265,2125.34005443177,24.8182772393995,20.81381318298,29.6569394418037
"43",23,89.25,1109.22560989427,786.367167298678,1826.87503725767,24.735852394178,20.5782575966335,29.9844458183644
"44",22,89.17,1104.26255191336,793.466956419482,1885.09908877908,24.6914283440831,20.6261839509308,29.584924698999
"45",21,88.97,1128.826631333,792.511832822985,1909.45041770025,24.517487188441,20.3648340037526,29.4820874220921
"46",20,89.24,1089.4962850977,776.733075472102,1804.60103374604,24.529465822936,20.5803100127398,29.0715997773879
"47",19,88.95,1118.53165445893,797.180975730637,1886.08114566762,24.374649934251,20.6015181819352,29.3815881653742
"48",18,89.05,1117.29396365338,783.806861326893,1827.38145543777,24.3575234976168,20.5306195684573,29.0894681038287
"49",17,89.11,1139.51773436346,788.278551366861,1884.361904361,24.3524111283859,20.6829630820829,28.7132305074975
"50",16,89.06,1132.42579286833,804.80377561558,1784.10586470141,24.3387295847301,20.615480184025,28.8463804196769
"51",15,88.26,1252.49835709949,838.972271373028,2328.14166722203,23.0194253816114,19.131509250506,27.3275695733219
"52",14,88.58,1187.24985071318,823.624358593009,1995.73999582048,22.6083956889932,19.1536291850358,26.6118205543503
"53",13,88.58,1169.39131811724,790.004352518984,2082.48492499906,22.4834699971557,19.3521154035906,26.1506750216766
"54",12,88.62,1162.24038228718,803.076592490398,2008.2171304567,22.4089287829233,19.3098255643901,26.0431402607625
"55",11,88.49,1187.94493811257,799.162751697407,1978.03271497493,22.4277290115753,19.2933626709909,26.051439940512
"56",10,88.36,1228.33944810733,850.044668072249,2280.43967373916,22.4128579933607,19.1473551269401,26.0175369059799
"57",9,88.39,1203.30761475747,819.283122793415,2089.32402578101,22.3921064757837,19.1748140629611,25.9952477598283
"58",8,88.27,1228.69455577809,813.226596067106,2212.93949491623,22.2954005752519,19.1399006942551,25.6740344629399
"59",7,88.38,1233.21516009856,837.076528942829,2266.5011881439,22.2941566994545,19.2074571130357,25.3235717664711
"60",6,88.27,1275.79213186835,845.204683279318,2363.4700335642,22.2868204493099,19.1922717639847,25.387081913493
"61",5,88.21,1343.02865721101,930.202451820445,2619.57918875938,20.9203214581474,17.5047809899901,24.1476983257293
"62",4,88.17,1302.98091818393,889.386075888856,2305.18362506894,20.776921110848,17.6892006565811,23.6231280776949
"63",3,88.22,1273.19835529209,864.148482232475,2420.2779150161,20.6941977903778,17.9306306648807,23.5232321613274
"64",2,88.49,1207.5252387558,829.750457203436,2116.08183869884,20.7066488299806,18.2189532241474,23.4628404194994
"65",1,88.45,1166.96869676052,810.74872742398,2018.47211420924,20.7091293244013,18.1037447606611,23.3141128952663
"66",0,88.05,1196.44936179007,1012.21825666754,1466.05278892263,20.7237895039469,19.0894711040699,22.7936088013103
